lat,lng,Official Name State,Official Name Suburb
-35.85775956715044, 147.27710886505741,New South Wales,Woomargama
-33.30135045350193, 151.04501659582772,New South Wales,Wrights Creek (NSW)
-33.36459323857333, 149.67251926027478,New South Wales,Yarras (Bathurst Regional - NSW)
-37.88093885492225, 144.78443236431673,Victoria,Altona Meadows
-35.93068087761662, 143.86424949522643,Victoria,Appin South
-37.562286777724786, 143.85020401740073,Victoria,Ballarat Central
-37.45541441171086, 144.31118592965439,Victoria,Barrys Reef
-38.08716937087697, 144.27454151613776,Victoria,Batesford
-37.98218051252433, 145.0388665711282,Victoria,Beaumaris (Vic.)
-38.33768185145084, 144.23630325470958,Victoria,Bellbrae
-37.697874262305106, 145.28361107344818,Victoria,Bend Of Islands
-37.599529483729526, 148.2961411214218,Victoria,Bete Bolong North
-37.43625191409227, 143.78069943576938,Victoria,Blowhard
-36.41206198275773, 144.72004307448938,Victoria,Bonn
-36.098819243530414, 146.24390215581607,Victoria,Boorhaman North
-37.0092949830495, 148.05633161348092,Victoria,Brumby
-37.766345432176486, 144.96128905576504,Victoria,Brunswick (Vic.)
-37.76331194945433, 144.94296001964457,Victoria,Brunswick West
-37.36444361826473, 143.16750833234656,Victoria,Buangor
-36.67191653050004, 146.6570731629673,Victoria,Buffalo River
-38.02803342797596, 147.0175441994358,Victoria,Bundalaguah
-36.53074464864962, 144.837406833749,Victoria,Burramboot
-37.354241168219055, 144.93872142750476,Victoria,Bylands
-37.78158326250614, 147.51007644526544,Victoria,Calulu
-38.54273358702344, 145.3440384196386,Victoria,Cape Woolamai
-36.462890558969654, 144.89152504638784,Victoria,Carag Carag
-36.19942669599864, 146.61614716467588,Victoria,Chiltern
-37.9686893162762, 144.621556401991,Victoria,Cocoroc
-37.80207169030892, 144.98812752420278,Victoria,Collingwood (Vic.)
-38.28244630527335, 143.48890462776643,Victoria,Corunnun
-35.708462826266455, 143.12098340087735,Victoria,Culgoa
-37.42252955384283, 144.8697628750377,Victoria,Darraweit Guim
-37.97389681422191, 146.68726476718035,Victoria,Dawson (Vic.)
-38.252402921744554, 145.9337484420495,Victoria,Ellinbank
-37.88582680732716, 145.0070094521705,Victoria,Elsternwick
-37.69789628515518, 145.14180241354134,Victoria,Eltham North
-37.63892454773534, 145.00907690491022,Victoria,Epping (Vic.)
-36.7025173337702, 144.30863584856755,Victoria,Epsom (Vic.)
-36.76863428399425, 145.56185258673588,Victoria,Euroa
-38.30727408250464, 145.9405083755642,Victoria,Ferndale (Vic.)
-38.10035701927678, 145.66980381083658,Victoria,Garfield
-38.45104258980041, 145.5261986773101,Victoria,Glen Forbes
-37.88158434821744, 145.16822180318732,Victoria,Glen Waverley
-37.030536987331615, 144.09935710758182,Victoria,Gower
-35.960126446073225, 143.61658153289503,Victoria,Gredgwin
-37.99835541664855, 141.39866878322644,Victoria,Greenwald
-37.61583040273791, 143.63480024768072,Victoria,Hillcrest (Vic.)
-37.50193375546463, 145.18557515078578,Victoria,Humevale
-38.40543149432097, 145.72433059280038,Victoria,Jeetho
-38.135234005151894, 145.29049283221184,Victoria,Junction Village
-35.855831296396666, 144.24619735763162,Victoria,Keely
-35.779836956907666, 144.01403297909522,Victoria,Kerang East
-37.18119612863733, 145.43186784048424,Victoria,Killingworth (Vic.)
-38.27363402657322, 142.37271510335,Victoria,Koroit
-37.442642998597734, 144.1387254984058,Victoria,Korweinguboora
-36.19158519325519, 144.5247114230494,Victoria,Kotta
-36.23180751888828, 144.88102672041038,Victoria,Koyuga
-36.537885149205856, 143.80559588623018,Victoria,Kurting
-37.15005229827962, 144.50116295896748,Victoria,Langley
-37.602758352263365, 146.592814071165,Victoria,Licola
